autor,calificacion,contenido,hotel,titulo
Tonya B,50,"The location is absolutely perfect and cannot be beat! First off, the STAFF is amazing and attentive! Upon arrival, Jay upgraded our room +WiFi. I traveled with,...",The Hollywood Roosevelt,"Amazing location, amenities, and service, it's PERFECT"
Tonya B,50,"I honestly can't say enough good things, this place was way nicer than we expected. First the STAFF was super friendly and greeted us coming and going.  The lob,...",Holiday Inn Chicago – Midway Airport S,What an EXCELLENT hotel!
Tonya B,50,"We love the chessie boats, they are cool paddle powered dragon boats.  They are a great way to relax on the  water.  We ride these boats every time we visit the,...",Inner Harbor Paddle Boats,very relaxing ride
Tonya B,50,"I can't say enough good things about this adventure. I took my son (7) and my nephew (4) on the Urban Pirates tour,  they loved every minute of it. These two  b,...",Urban Pirates,We're going back again-- soon!!!
Tonya B,50,"We've been to Baltimore twice this year and both times we went to Mamas. This place is a permanent part of our itinerary when we go on our weekend Baltimore tri,...",Mama's on the Half Shell,Amazing food an Amazing Service!
NickyU,50,"I was given 4 lessons for my birthday, and thought I would never be able to make anything much. But Mark is such a good and patient teacher, that I was able to ,...",Tradpots Studio,Great experience!
NickyU,50,"We stayed here for one night as part of a roadtrip, and it was fabulous.  Rooms are all individually decorated and really homely. Breakfast was the best we had ,...",Syringa Lodge,Best place to stay in Salmon
NickyU,50,"Stayed here for one night, but would like to have stayed longer. Room was really a suite with lounge kitchen and diner, then separate bedroom and balcony, lovel,...",The Gonzo Inn,Excellent place to explore Moab area
NickyU,50,"Stayed here for one night as part of a roadtrip. Room was spacious and bed really comfy. Staff were particularly helpful and welcoming, used the gym the equipme,...",Best Western Grande River Inn & Suites,Excellent overnight stay
NickyU,30,"Stayed here for 1 night as a stopover in a tour. Room was large and had a view of the mountains. Bed comfortable and bathroom well equipped. Breakfast was inclu,...",Columbine Inn & Suites,Good for stopover
NickyU,40,"We stayed here for 2 nights. Staff were helpful and welcoming, our room was modestly sized, but bed was really comfortable and bathroom good. We were missing a ,...",Hotel Felix,Centrally placed for sightseeing
NickyU,50,"Stayed here for 2 nights and were really impressed. Room was spacious and bed really comfy. The best thing really is the location as you can walk everywhere and,...",The Madison Hotel,Great location for sightseeing
NickyU,30,"We were booked in here for 2 nights at the start of a tour and were supposed to stay for our last night but cancelled this as we couldn’t face going back. The r,...",Arlo SoHo,Smallest hotel room ever
NickyU,50,"A definite 'must' visit in Sri Lanka, a difficult climb is rewarded by stunning views - need to wear good shoes",Sigiriya The Ancient Rock Fortress,Amazing views
NickyU,50,"We stayed here for two nights as part of an Exodus tour.  The swimming pool has an amazing view of the countryside, and is really not to be missed.   Our room w,...",Aliya Resort & Spa,Beautiful Views
NickyU,50,"We stayed here for 3 nights before our Exodus tour started, and were impressed.  The hotel grounds are beautifully kept and well laid out, leading to a lovely p,...",Arie Lagoon,Tranquil setting
NickyU,30,"We stopped here for an hour on our way to Galle, and it was OK, but lacked specific details regarding most of the items, like the dates.",Martin Wickramasinghe Folk Museum Complex,Lacks details
NickyU,50,"Great restaurants and loads of lovely shops, and a lovely place to just mooch around during the day or evening.",Old Town of Galle and its Fortifications,Lovely to wander around
NickyU,50,"We stayed here for 6 nights, following a tour of Sri Lanka with Exodus.  Pool area is really well laid out, and there are loads of sunbeams, although you do nee,...","Radisson Blu Resort, Galle",Lovely views of the ocean
NickyU,50,"Bit confused about previous reviews, as we had a fantastic meal here.  We originally were drawn to the place because they were doing and early bird menu, but en,...",Star of Siam,Great find in Keswick
NickyU,30,"We ate here on a Sunday night and had one of the specials - baked cod.  This was a bit disappointing because the spring onions were missing from the mash, so wa,...",Bank Tavern,Atmosphere OK - food average
NickyU,30,"We ate here on a Monday evening, and had the goulash which is the specialty of the pub, this was good and there was lots of it.  We had booked, although I heard,...",The Dog and Gun,Food good but service not too speedy
NickyU,50,"We stayed here for 3 nights, the views from our room were amazing.  The property is well placed for wandering into Keswick, and also for walking to the lake.  B,...",Appletrees Guest House,Great location and excellent views
NickyU,30,"We stayed here for 2 nights as part of tour with G Adventures, room was spacious and clean, only problem was the bathroom door was hanging off, it was on runner,...",Mito Hotel,OK for short stay
NickyU,50,"Stayed here for 3 nights as part of a G Adventures tour.  Hotel is well located for the town, and access to restaurants etc.  Pool nice and secluded, breakfast ,...",Grand Bayon Siem Reap Hotel,Great hotel in Siem Reap
robin818,30,"This hotel is extremely convenient if you are seeing a show at the State Farm area. You can go downstairs to the CNN center gate and never have to go outside. T,...",Omni Atlanta Hotel at CNN Center,"Nice views and convenient location, but LOUD!"
robin818,50,"I started to write this review, and it showed that I had previously written one.  It looks like 10 years ago I absolutely hated this place and gave it a bad rev,...",Acme Lowcountry Kitchen,"I guess this is hit or miss for me, but a definate hit this time"
robin818,30,"The Angel Oak Tree is gorgeous.  It is MASSIVE!  The experience of seeing the tree though is subpar.  You drive down a dirt road til you see a ton of cars parke,...",Angel Oak Tree,Don't go out of your way
robin818,50,"I read some forums about Charleston before visiting, and everyone kept saying that you should go to Caw Caw Interpretive Center if you want to see wildlife.  It,...",Caw Caw Interpretive Center,This place did not disappoint
robin818,40,"This is a nice area to visit if you are nearby.  It is nicely laid out with good information and makes for a very peaceful stop.  I don't think that young child,...",Colonial Dorchester State Historic Site,Nice and Peaceful
robin818,50,We stopped here on the way to the beach and we’re pleased with everything we ate here. Absolutely delicious food and drinks. Highly recommend.,Vicious Biscuit,So good for breakfast or lunch
robin818,10,"First, this restaurant is pretty dirty on the inside, and that doesn’t always make me want to leave a restaurant. I’ve eaten at many greasy spoons and holes in ,...",Ricky's Drive-In West,"So, so much grease"
robin818,50,"My husband and I stayed here one night to attend a concert at the Woodruff Arts Center.  This hotel is SUPER close to the Arts Center and very easy to walk to. ,...",Hampton Inn & Suites Atlanta Midtown,Very nice hotel
robin818,50,"The food here was delicious. I had the Vegan pho and my husband had a ramen bowl. We shared an order of kimchi pancakes. All of the meals come with small sample,...",Seoul Garden,Yummy Korean food
robin818,50,"We were at this venue for a concert.  The whole process of getting into the building, finding out seats, and enjoying the show was easy.  The staff that we spok,...",Colonial Life Arena,Good arena for a concert
robin818,20,"I'm not sure what was going on in this restaurant when we walked in, but it seems that we were walking into some kind of drama.  The waitress was all stressed o,...",Lizard's Thicket Restaurant,Shockingly Bad
robin818,30,"This hotel was average at best.  I stayed here with my family of five for a concert at the Colonial Life Arena.

The pros:  The ladies at the front during check,...",SpringHill Suites Columbia Downtown/The Vista,Would Not Recommend
robin818,50,"My family really enjoyed getting out and walking around this small refuge.  The walking trails are easy for everyone in the family, and they were well maintaine,...",Desert National Wildlife Refuge,Peaceful walking trails
robin818,20,"Honestly, the food here was good.  Unfortunately, the man behind the counter was rude to us as we were ordering.  As I waited for my food, I saw him be rude to ,...",Smokin' J's Barbecue,"Good food, but bad customer service"
robin818,30,"If you are passing by, this is worth a stop.  The art pieces are neat, but I wouldn't go out of my way to see the buildings.  They all have fences around them.",Rhyolite,Don't go out of your way
robin818,40,"On our trip to Death Valley, we stayed at this hotel and the Ranch at Death Valley.  This hotel beats the Ranch in every way!  It is a little further out from t,...",Stovepipe Wells Village Hotel,Overpriced but I would stay again
robin818,20,"The only reason to stay at this hotel is the convenience of it.  If you don't care about that, don't stay here.  The rooms at this hotel are quite expensive, bu,...",The Ranch At Death Valley,The worst hotel I spent a ton to stay in
robin818,40,"This restaurant is off the main strip, and seemed to be liked by the local people.  We ordered burgers for our lunch, and they were good.  This place is small, ,...",Mom's Diner,"Small place, good food"
robin818,40,"This was a nice stop on the way back from the Hoover Dam.  The chocolates were good and come in many flavors, but they are a bit expensive.  We did the tour, bu,...",Ethel M Chocolates Factory and Cactus Garden,"Beautiful cactus garden, expensive chocolate"
robin818,50,"This was a nice stop over on our trip out to the Hoover Dam.  The houses in the back were interesting, and each family scene in the houses were reflective of th,...",Clark County Heritage Museum,A different type of museum
sierabags,50,"I decided to take a solo trip, & I had an amazing experience. I did end up going to West loop a lot however being located in south loop but urbers were very hel,...",Hilton Garden Inn Chicago Downtown South Loop,Solo trip experience!
Awais Alam,40,"It was a good place to stay for the weekend, friendly staff. Liked the location, plus very clean and quiet area. I would definitely stay back there again if I v,...",Courtyard Miami West/FL Turnpike,Miami Visit with a Stay in Courtyard Miami West/FL Turnpike
Awais Alam,,,,
Awais Alam,40,"Visited San Juan, PR with my wife. The hotel was at a good location, pleasant stay with everything within the city limits. Had a great time, the hotel was clean,...",Comfort Inn & Suites,Trip to Puerto Rico September 2022
Awais Alam,,,,
Awais Alam,50,"Went to Chicago, IL for MAS-ICNA 2021 it was a nice place to stay right close to downtown. Right outside there is a bus station, and CTA, takes you right to dow,...",Hilton Garden Inn Chicago Downtown South Loop,Very nice place to stay
Awais Alam,40,"it is a small, but good hotel to stay. Hotel has a bit of Parking issue, but over all clean. The stay is really nice will help you out, if needed I would recomm,...",Cresthaven Inn JFK,Small Hotel
Awais Alam,,,,
Awais Alam,10,"This hotel is very disappointing, it was very dirty. There a bugs, cockroaches, etc. in the room. The staff was very rude, I would NOT stay in the place ever ag,...",Ramada by Wyndham Baltimore West,Not a Great Place to Stay
Awais Alam,50,"It was a good place to stay, very clean and nice. Staff was very friendly I would recommend whoever comes to Chicago should stay here very accommodated. Overall,...",Wyndham Chicago O'Hare,Trip to Chicago
Awais Alam,20,"The hotel was small in size as described in Priceline, the location was right in the middle of the city. It was a ok place to stay, the hotel was clean. Nota fr,...",Fairfield Inn & Suites New York Downtown Manhattan/World Trade Center Area,Small Hotel
Awais Alam,50,"Visited San Antonio, TX with a friend of mine. The hotel was at a good location, pleasant stay with everything within the city limits. Had a great time, the hot,...","Country Inn & Suites by Radisson, San Antonio Medical Center, TX",Nice Stay
Awais Alam,,,,
Awais Alam,,,,
Awais Alam,50,"Went for CPL 2017 to watch the matches, all the teams stayed in the same hotel. It was right in the city next to the parliament. It was very clean and organize ,...",Hyatt Regency Trinidad,Trip for CPL 2017
Awais Alam,50,"Stayed around Pittsburgh area on my way to Baltimore, MD one of the best Ramada I stayed at. Clean, and very well organized I will highly recommend this place t,...",Ramada by Wyndham Washington,Excellent Stay in Ramada by Wyndham
Awais Alam,,,,
Awais Alam,50,"ello,

I recently made trip with my wife to Omaha Island  in Honolulu, HI and we stayed at the Luana Waikiki Hotel & Suites. The stay was awesome and the staff ,...",Luana Waikiki Hotel & Suites,Great Place to Stay Luana Waikiki Hotel & Suites
Awais Alam,,,,
Awais Alam,50,"It was a great experience, and stay was fabulous. Service was great. I was recommend staying again in this hotel. Around the globe where I will go i would like ,...",Radisson Plaza Hotel at Kalamazoo Center,Great Experience
SHAJUAN T,50,"The hotel was great and in the best location. It was directly across the street from Chinatown which was super convenient because we simply walked across the st,...",Hilton San Francisco Financial District,Perfect location
SHAJUAN T,50,"Nice hotel, friendly staff and the view was great. A little bit of the city and the river and we never closed the curtains. It was really nice and in a great lo,...",Hilton Garden Inn Chicago Downtown South Loop,Nice space
SHAJUAN T,50,This was really enlightening. Lots of info on inmate daily routines conditions and history lots of history. It was walking up hills at its best. Lol,Alcatraz Island,Really good self guided tour
SHAJUAN T,50,This was my 2nd experience and again I loved it. It gave the info aboutthe city I look for with the ability to get off and explore them get back on.,Big Bus Chicago Hop-On Hop-Off Tour,Love these tours
SHAJUAN T,50,"This was a first for me and I loved it. We got to see the city and get info at the same time. We were able to get off and spent time at the apps that meant some,...",Big Bus San Francisco Hop-on Hop-off Open Top Tour,Good tour
SHAJUAN T,50,"Lots of fun here. Good food and entertainment. We visited after taking the Alcatraz tour which was also at the pier along with a bus tour of the city which also,...",Pier 39,Good fun
SHAJUAN T,50,Learning the crime history was interesting and Lea was great! Perfect amount of time and we liked being able to get off at some of the locations.,Chicago Crime and Mob Bus Tour,Great tour
SHAJUAN T,50,"Could be updated a bit but overall very clean and enjoyable hotel. The location is great since it is on the 4 corners with 3 other big hotels just minutes from ,...",Excalibur Hotel & Casino,Great value
msellers326,50,"We stayed for one night during Lollapalooza. For a large event happening and the hotel being sold out, the staff here did amazing. We got into town early and we,...",Hilton Garden Inn Chicago Downtown South Loop,Great location
raybyerley,40,"This is a typical Hampton Inn with a breakfast you should expect.

I had a King bed room with a view down to the pool (pictures of the pool out the window in my,...",Hampton Inn & Suites ATL-Six Flags,One night stay to visit nearby plant project 11/09/22
raybyerley,30,"Was late arriving and would be staying at a nearby Hampton Inn. So, stopped here first to have a late dinner.

Anastaia was very nice helping me before closing!,...",Cracker Barrel,Got in just before closing @ 8:45 pm on 11/09/22
raybyerley,40,"This is probably the 4th or 5th time I’ve stayed here.

I especially like it because it is a short walk to several very good restaurants.

This trip I had a kin,...",Hampton Inn & Suites Newark-Harrison-Riverwalk,"Consistent rooms, friendly staff, short walk to good restaurants. 11/01 to 11/03/22"
raybyerley,50,"I am staying at the Hampton Inn just a 4?or 5?minute walk down Passaic Ave, this was recommended by the Young lady at the hotel front desk.

I was seated right ,...",Tops Diner,"No such thing as small here, excellent dinner stop 11/02/22"
raybyerley,40,"I come here almost every time I visit our plant near Newark, especially when I stay at the Hampton Inn Around the corner.

I started with the very necessary 1/2,...",Spanish Pavillion,"Long work day, short walk from the Hampton Inn 11/01/22"
raybyerley,40,"I needed to restock my at-home coffee supplies and the weather was perfect for sitting out on the front porch. I attached a picture of the front from the street,...",Abita Roasting Co. Madisonville,Beautiful weather breakfast on the river 10 / 30 /22
raybyerley,40,"We called ahead crossing the causeway and ordered a 16” Supreme and a meat lovers Calzone to go.

I attached pictures of the front from the parking lot and the ,...",That's Amore Pizza,"Heading back from the airport after being gone 10 days, called ahead crossing the causeway. 10/23/22"
raybyerley,40,"We intended to come with our RIT daughter and one of her classmates, but that didn’t work out.
So it was just my wife and I.

It is very conveniently located at,...",110 Grill,Late dinner our last night in Rochester this year 10/22/22
raybyerley,40,"We have been visiting for the last week and in between weekends drove into Canada, so this weekend we are back to end up our visit.

We had stayed here a couple,...",Holiday Inn Express Rochester - University Area,Last two nights visiting our RIT daughter 10/21 to 23/22
raybyerley,40,"We walked along the Erie Canal while we waited about 40 minutes for a table. A picture of the front from the street snd a couple inside are attached.

They were,...",Simply Crepes Cafe - Pittsford,Brunch after walk along the Erie Canal 10/22/22
raybyerley,40,"We went with out RIT daughter.

Pictures of the front from the street and the bar area just inside are attached.

We had a good spot in a corner away from most ,...",Ox and Stone,"Food and service very good - just a little too dark and a lot too loud, q 10/21/22"
raybyerley,50,"We stayed one night in downtown Toronto and used the City pass my wife bought @ about $84/ each to get up the CN Tower and Aquarium yesterday and the Casa Loma ,...",Casa Loma,"Short subway ride from Double Tree hotel, used City pass for admission. This was a great deal!
10/21/22"
raybyerley,40,"My wife used a bunch of Hilton honors points for one night in Toronto. We walked to everything we wanted to see- CNTower, Aquarium, Casa Loma, she bought a City,...",DoubleTree by Hilton Hotel Toronto Downtown,"One night, easy walk to the touristy things we wanted to see 10/20 to 10/21/22"
raybyerley,40,"We only waited about 10 to 15 minutes with no reservation, but they were very busy on a Thursday night.
I attached pictures of the entrance and a view of the in,...",Lee Chen Asian Bistro,"Stopped on the walk back to the Double tree hotel, separate review to follow, from CN Tower 10/20/22"
raybyerley,50,"In Toronto today and tomorrow 10/20 & 21/22, my wife bought a City pass that was a great deal- it got us in here, the CN Tower and tomorrow Casa Loma.

I attach,...",Ripley's Aquarium of Canada,"Excellent Aquarium , great deal with the City pass 10/20/22"
raybyerley,50,"We are in Toronto today 10/20 & part of tomorrow 10/21.
My wife bought a city pass well before our trip for about $84 US each, this got us up the tower, the Aqu,...",CN Tower,"1,136 feet up above Toronto, fun & great views- city pass great deal 10/20"
raybyerley,,,Hughson Hall,
raybyerley,50,"We came to Stratford mainly to see a Shakespeare play, Richard III, and my wife picked the Hughson Hall after speaking with Debra.

Pictures of the front, sever,...",Hughson Hall,Charming hosts and lovely B&B 10/19-20/22
raybyerley,50,"My wife and I came to Stratford to see a Shakespeare play, and this is the one we picked.

The theatre is vey open, not quite all the way in the round, but the ,...",Tom Patterson Theatre,Richard III
raybyerley,50,"My wife and I walked the 15 or 20 minutes from the B&B.

I attached pictures of the front and several inside including of the South African words explained on t,...",Braai House,"Recommended by Hughson Hall B&B, 10/19/22"
Aaron J,50,"The hotel was great. Good amenities and friendly staff. The hot tub wasn't working for us, but overall great. I'm especially thankful to the security and cleani,...",Hilton Garden Inn Chicago Downtown South Loop,Thank you
Rey D,50,"My wife and I were exhausted coming in after shooting a 10hr wedding together. We didn’t have our card to head up in the elevator Darryl was nice enough to help,...",Hilton Garden Inn Chicago Downtown South Loop,Darryl was a great employee who helped me and my family. This stay has been great but Darryl made it better!
Casey K,50,"Best Irish Pub in Freiburg ! Top food, top service, top atmosphere. Would highly recommend. Didn’t think that we would enjoy a quiz night- but we really did.",Oscar Wilde's Irish Pub & Cafe,Top Pub
Casey K,50,"I had such a great time in this hotel ! My family and I visited the hotel for my cousins wedding in July. Because of this we needed to arrive earlier than the s,...",Hilton Garden Inn Chicago Downtown South Loop,Perfect Wedding Weekend
Casey K,50,"This place was AMAZING! It was my last night in the states visiting my family before returning to Germany, and let’s just say they made our evening perfect. We ,...",Global Brew Tap House,10/10 -Evening to remember !
Casey K,40,"We found this restaurant completely by chance on our last night in Switzerland ! 

The portions were large, and very satisfying! Although the menu is a bit misl,...",La Cave,We found this restaurant completely
Casey K,30,"My husband and I are always looking for some fondue when we visit Switzerland! All in all it was an average experience. We had two different fondues, and althou,...",Bistro Gentiana - Cafe des artistes,My husband and I are always
Casey K,50,"This restaurant was our first stop in Prague- and we have not been able to stop thinking about it! The service was great, and very friendly, and were able to pr,...",Pivnice U Jary,AMAZING
Casey K,50,"I just booked my THIRD dinner with Pottoka- and I couldn't be more excited! My best friend introduced me to this restaurant last year when we went to Paris, and,...",Pottoka,Best food imaginable!
Casey K,50,"We came with Jazzar 2017, and had the most amazing experience. Shedrach gives each person the most personal experience, and really cares about his guests. I cam,...",BnB Comfort House Lostorf- Olten,AMAZING
Casey K,50,"So far in my week here near Aarau my boyfriend and I have been here twice. The pasta is cooked to perfection, and ever dish tastes beautiful. The service is qui,...",SPAGI by Marcello,Great food- fast service
DeDeM68,30,"Room was decent and reasonably clean though the bedskirt was stained with questionable drips. Staff was friendly. But they only clean your room if you request  ,...",Hilton Garden Inn Chicago Downtown South Loop,Hard to get housekeeping services
DeDeM68,50,"Had a great meal plus happy hour drinks in the bar. The bartender was friendly and generous. The food was hot and deliciously seasoned. My party liked it so muc,...",Lowcountry,Best bartender ever
DeDeM68,50,"I highly recommend this tour, especially for beginners. During the ride, you traverse a variety of terrains (along the river, around a lake, through some brush,,...",Cabo white sand horseback adventure,Awesome ride through breathtaking scenery with Chino and the horse Castaño
DeDeM68,30,"The staff is friendly, the rooms are clean, but it’s too loud to sleep. The walls are paper thin. This morning we were woke by the sound of someone vacuuming up,...",SCP Redmond Hotel,Too loud to sleep
DeDeM68,40,"During a camping trip to the Olympic peninsula, we found ourselves without a place to sleep one night (due to poor planning and needing to catch up on laundry).,...",Olympic View Inn,"Comfortable, clean rooms at a reasonable price"
DeDeM68,40,"After reading a couple of the negative reviews of this hotel, we were pleasantly surprised when we arrived and found that the rooms were super clean, attractive,...",Comfort Suites Columbia River,"Clean, large rooms"
DeDeM68,30,"My husband really enjoyed his oysters, but overall the meal was nothing spectacular. My food was decent, but not great. The greens in my salad were a bit wilted,...",Silver Salmon Grille,"decent meal, but nothing spectacular"
Stuart R,50,"I'd been curious about the curiously named Kothu Labs and so we went last night for dinner on their back patio. We shared veggie spring rolls, string hoppers, a,...",Kothu Labs,A new culinary experience and great service!
Stuart R,50,"We have done takeout here many times. The staff is friendly, and the menu is great for vegetarians. At about $10 a veggie dish, the value is great. Vegetable ba,...",Hakka Fusion,Amazing Hakka at reasonable price
Stuart R,40,"I've tried several vegetarian dishes here, and I've always been happy. Great chana masala, great veggie samosas, decent palak paneer, and more. Surprised that t,...",Silver Spoon,Decent food at a great price
Stuart R,50,"Did safe (COVID era) takeout with five vegetarian dishes and was thrilled. I had been to their excellent buffet shortly after they opened but this takeout exper,...",Balti Indian Restaurant,Great Indian experience in Durham region!
Stuart R,50,"I often go here for lunch: creative salad, delicious soup, and a tea comes out to unsafe $20 with tip. The staff are friendly and the place has a really nice vi,...",Black Cat Bakery and Café,"Friendly, comfortable place with good food!"
Stuart R,30,"This place has the same selection all the time. A big drag for a vegetarian. It would be nice if they'd change things up a bit — maybe some tofu, or some eggpla,...",Red Rice Buffet,Acceptable buffet but no more than that
Stuart R,50,"I love this place and am really impressed with the vegetarian options on the menu. The servers are very friendly and the service is fast.

Excellent hot'n'sour ,...",New Sky Restaurant,"My favourite Chinatown restaurant, with great veggie options"
Stuart R,40,"I enjoyed my two-night stay in Chinatown. The hotel staff were polite and friendly, the room was surprisingly quiet, the bed was very comfortable.

My only mino,...",Super 8 by Wyndham Downtown Toronto,Enjoyable stay at a quirky hotel in a great location!
Stuart R,50,"This place had a shaky beginning but I've return after a long absence. The frosted windows, meaning you can't see in from the street, are not inviting! And the ,...",The Ale House,Some good choices for vegetarians who want the pub experience!
Stuart R,50,"We only came for a late-night drink or two, and thought we were stumbling into some seedy bar. Well, it is a pretty well-worn place, but it was also delightful.,...",Founding Fathers Pub,A great experience! An eccentric little pub!
Stuart R,50,"What a charming, eccentric, friendly place! We came to check out an indie band and were delighted by everything about this place, not least the two super-friend,...",Matinee,Great little music venue!
