amenities,ciudad,descripcion,direccion,nombre,precio,valoracion
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Highchairs available,Taxi service,Business Center with Internet Access,Conference facilities,Parking,Wifi,Restaurant,Breakfast available,Breakfast in the room,Vending machine,Banquet room,Meeting rooms,Salon,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Non-smoking hotel,Shops,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Room service,Safe,Cable / satellite TV,Flatscreen TV,Bath / shower,Complimentary toiletries,VIP room facilities,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,Radio,Hair dryer,Bridal suite,Non-smoking rooms,Suites",Chicago,"Step inside and experience an extraordinary piece of living history during your next visit to downtown Chicago at the Congress Plaza Hotel. This ""Landmark of Chicago Hospitality"" has delighted business and leisure travelers for over a century. Guests at the Congress Plaza Hotel can explore art institute, millenium park, buckingham fountain, magnificent mile,museum campus all with in walking distance just by stepping outside our front doors. Situated adjacent to Grant Park, our 14-story property is located along Michigan Avenue, providing unlimited access to the city's finest retail stores, the bustling business district and Chicago attractions.,HOTEL STYLE,Park View,Classic","520 South Michigan Avenue, Chicago, IL 60605",The Congress Plaza Hotel & Convention Center,€214,3.0
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Conference facilities,24-hour security,Paid private parking on-site,Paid wifi,Restaurant,Breakfast available,Breakfast buffet,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Safe,VIP room facilities,Iron,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Classic,Historic Hotel","701 N Michigan Avenue, Chicago, IL 60611",Warwick Allerton - Chicago,€139,4.0
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Bowling offsite,Children's television networks,Airport transportation,Paid public parking on-site,Wifi,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Happy hour,Kid-friendly buffet,Kids' meals,Canoeing offsite,Patio,Walking tours,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,24-hour security,Baggage storage,Concierge,Convenience store,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Telephone,VIP room facilities,Wardrobe / closet,Iron,Private bathrooms,Wake-up service / alarm clock,Minibar,Flatscreen TV,Bath / shower,Complimentary toiletries,Hair dryer,City view,Landmark view,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,City View,River View","151 East Wacker Drive, Chicago, IL 60601-3709",Hyatt Regency Chicago,"€277,€255",4.0
"Parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Business Center with Internet Access,Conference facilities,Rooftop terrace,Concierge,24-hour front desk,Wifi,Sauna,Banquet room,Meeting rooms,Non-smoking hotel,Doorperson,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites",Chicago,"Eurostars Magnificent Mile is located in the heart of Chicago, in the prestigious River North neighborhood, surrounded by the shops, bars and restaurants of the iconic Magnificent Mile. The hotel features an industrial-chic style with exposed concrete ceilings and avant-garde elements which contrast with the wooden floors and soft tones of all the rooms, creating a cozy atmosphere. Moreover, there is a wellness area offering a wide variety of beauty and massage treatments, as well as a sauna. Guests can also enjoy dinner at the Portsmith restaurant, which serves fish and seafood, or end the day while tasting a cocktail on the Apogee terrace,HOTEL STYLE,Boutique,Trendy","660 N State St, Chicago, IL 60654-3830",Eurostars Magnificent Mile,€174,4.5
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Coffee shop,Business Center with Internet Access,Meeting rooms,Baggage storage,Non-smoking hotel,Wifi,Vending machine,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Bathrobes,Air conditioning,Desk,Housekeeping,Room service,Flatscreen TV,Bath / shower,Complimentary toiletries,Safe,Telephone,Iron,Laptop safe,Wake-up service / alarm clock,Hair dryer,Non-smoking rooms",Chicago,"HOTEL STYLE,Modern,Mid-range","111 W Huron St, Chicago, IL 60654-8706",Hotel Felix,€155,3.5
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Coffee shop,Bicycle rental,Walking tours,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Paid private parking on-site,Restaurant,Breakfast available,Breakfast in the room,Kid-friendly buffet,Kids' meals,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,24-hour security,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Blackout curtains,Soundproof rooms,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bath / shower,Air purifier,Dining area,Room service,Safe,Flatscreen TV,Complimentary toiletries,Hair dryer,City view,Landmark view,Suites,Smoking rooms available",Atlanta,"Relax at Omni Atlanta Hotel at CNN Center, an upscale retreat in the heart of downtown Atlanta, Georgia connected to State Farm Arena and the Georgia World Congress Center. Our downtown Atlanta hotel is also conveniently located near the Mercedes-Benz Stadium, home of the Atlanta Falcons and the Atlanta United FC Professional Soccer Club, the Georgia Aquarium and the World of Coca-Cola. Discover a spa, trendy bistro/lounge and various dining options, and outdoor pool at this sophisticated hotel in Atlanta. Retreat to chic hotel rooms and suites within the bustling Centennial Park District, with breathtaking views of the Atlanta skyline or Centennial Olympic Park and thoughtful amenities. Whether you're looking to discover the romance, culture, entertainment and southern charm of Atlanta, GA during your stay, Omni Atlanta Hotel at CNN Center is your perfect getaway.,HOTEL STYLE,City View,Great View","100 CNN Center, Atlanta, GA 30303",Omni Atlanta Hotel at CNN Center,"€279,€166",4.0
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Wifi,Indoor pool,Restaurant,Breakfast available,Children Activities (Kid / Family Friendly),Business Center with Internet Access,Meeting rooms,Baggage storage,Convenience store,Non-smoking hotel,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Room service,Safe,Microwave,Refrigerator,Non-smoking rooms,Suites",Chicago,"Enjoy an ultra-modern stay at Hilton Garden Inn Chicago Downtown South Loop. Ideally located near the famous Chicago Loop and downtown Chicago, you'll be within easy reach of a wealth of attractions, including the Art Institute, Grant Park, the Chicago Riverwalk, Navy Pier, Wrigley Field, Skydeck Chicago, State Street Shopping and the Magnificent Mile. When you're ready to relax, check in to your guest room or suite and immerse yourself in the Connected Room experience. Our contemporary rooms offer Keurig coffee makers, comfortable beds, and state-of-the-art technology including ultra HDTVs with streaming live to Hulu, Netflix and Amazon Prime, and high-speed fiber optic WiFi. Treat yourself to a delicious lunch and dinner every day in our Garden Grille restaurant. When you want to unwind, work out in our fitness center or enjoy a soothing dip in our saline pool. Our Chicago hotel offers two conference rooms, perfect for your next meeting or event.,HOTEL STYLE,Mid-range,Modern","55 E 11th Street, Chicago, IL 60605",Hilton Garden Inn Chicago Downtown South Loop,€195,4.0
"Valet parking,Free High Speed Internet (WiFi),Rooftop pool,Fitness Center with Gym / Workout Room,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Conference facilities,Outdoor pool,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Shared lounge / TV area,ATM on site,24-hour front desk,Self-serve laundry,Air conditioning,Desk,Housekeeping,Safe,Coffee / tea maker,Refrigerator,Flatscreen TV,Bath / shower,Telephone,Wardrobe / closet,Iron,Wake-up service / alarm clock,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites",Chicago,"Feel welcome the moment you arrive at Hampton Inn Chicago Downtown/Magnificent Mile. Located only steps from exciting shopping and dining on the Magnificent Mile, this modern Chicago hotel offers wonderful views of Lake Michigan and Michigan Avenue. We are just steps from Northwestern Memorial Hospital, the Rehabilitation Institute of Chicago and Lurie Children's Hospital, and offer easy access to lots of museums and family-friendly attractions. Settle in to a modern and spacious guest room at this Magnificent Mile hotel in Chicago, Illinois. Check emails with free WiFi, browse HD channels on the 47-inch flat-screen TV and get a great night's sleep in the clean and fresh Hampton Bed®. Each room is appointed with all the amenities you come to expect including a mini refrigerator and in room safe. Start each day with Hampton's free hot breakfast buffet or grab a Hampton's on the Run Breakfast bag™.,HOTEL STYLE,City View,Family","160 E. Huron St., Chicago, IL 60611-3065",Hampton Inn Chicago Downtown / Magnificent Mile,€186,4.0
"Valet parking,Free internet,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access,Paid private parking on-site,Wifi,Paid wifi,Indoor pool,Heated pool,Sauna,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Vending machine,Airport transportation,Shuttle bus service,Conference facilities,Banquet room,Meeting rooms,Spa,Salon,Steam room,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Newspaper,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Allergy-free room,Soundproof rooms,Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Smoking rooms available",Chicago,"Located on the grounds of O'Hare International Airport (ORD), the Hilton Chicago O'Hare Airport hotel is within walking distance to all domestic terminals. Ideal for business or leisure, our Chicago accommodations feature contemporary decor, high-speed internet access, and 42-inch HD TVs. Take advantage of extensive Chicago airport hotel amenities like indoor swimming pool, fitness center and fully-equipped business center. Dining options at our Chicago Airport hotel include Andiamo restaurant, the Sports Edition Bar and 1920s themed Gaslight Club. Explore downtown Chicago attractions, just a short train ride, visit the Rivers Casino or catch a hockey game at the nearby Allstate Arena. Shopping enthusiast will enjoy a quick access to the Woodfield Mall. The Hilton Chicago O'Hare Airport offers a perfect setting for meetings, weddings and social events. Choose from 43 meeting rooms with full conference capabilities, including the 3,500 sq. ft. International Ballroom.,HOTEL STYLE,Green","10000 W O'Hare Ave O'Hare International Airport, Chicago, IL 60666",Hilton Chicago O'Hare Airport,"€285,€243",3.5
"Paid public parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Nightclub / DJ,Kids stay free,Parking garage,Wifi,Paid internet,Pool / beach towels,Indoor pool,Heated pool,Coffee shop,Restaurant,Breakfast available,Complimentary Instant Coffee,Wine / champagne,Children's television networks,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Safe,Bottled water,Iron,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Mid-range,Family","165 East Ontario Street, Chicago, IL 60611",Courtyard by Marriott Chicago Downtown/Magnificent Mile,€205,4.5
"Paid public parking nearby,Wifi,Fitness Center with Gym / Workout Room,Kids stay free,Pets Allowed ( Dog / Pet Friendly ),Car hire,Business Center with Internet Access,Conference facilities,Parking,Paid wifi,Banquet room,Meeting rooms,Spa,Facial treatments,Massage,Waxing services,24-hour security,Concierge,Executive lounge access,Newspaper,Non-smoking hotel,ATM on site,Doorperson,First aid kit,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Soundproof rooms,Bathrobes,Air conditioning,Desk,Refrigerator,Cable / satellite TV,Sofa bed,Bath / shower,Fireplace,Housekeeping,Interconnected rooms available,Room service,Safe,Seating area,Sofa,Telephone,VIP room facilities,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,Landmark view,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Centrally Located,Family","909 North Michigan Avenue, Chicago, IL 60611",The Westin Michigan Avenue Chicago,€260,4.0
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Conference facilities,Paid private parking nearby,Paid wifi,Restaurant,Breakfast available,Breakfast buffet,Banquet room,Meeting rooms,Salon,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Non-smoking hotel,Shops,ATM on site,Butler service,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Room service,Safe,VIP room facilities,Minibar,Flatscreen TV,On-demand movies,Iron,Bridal suite,Non-smoking rooms,Suites,Family rooms",Chicago,"The Drake, a Hilton Hotel is a historic downtown Chicago hotel in the Gold Coast, and has been a symbol of elegance and style since its opening in 1920. Celebrities and guests from around the world stay at our hotel to experience our first class service and excellent Chicago hotel location where the Magnificent Mile begins. Chicago City Attractions include Navy Pier, Michigan Avenue, Magnificent Mile shopping and dining, Lake Michigan, Bloomingdale's, Oak Street Beach, Chicago Gold Coast, John Hancock Center, Water Tower Place, Lincoln Park Zoo, and North Avenue Beach. We offer stunning city and Lake Michigan views in the center of Chicago's famous shopping, nightlife, culture and local dining area. The Drake Dining Options include Café on Oak, serving breakfast daily, Coq d'Or Restaurant & Lounge, and Palm Court, where you can enjoy Afternoon Tea. Coq d'Or and Palm Court feature live entertainment on weekends.,HOTEL STYLE,Historic Hotel,Classic","140 East Walton Place, Chicago, IL 60611-1501",The Drake,€218,4.0
"Parking garage,Free High Speed Internet (WiFi),Indoor pool,Fitness Center with Gym / Workout Room,Billiards,Video game console,Pets Allowed ( Dog / Pet Friendly ),Rooftop terrace,Yoga room,BBQ facilities,Outdoor fireplace,Outdoor furniture,Shared kitchen,Sun deck,Clothes dryer,Washing machine,Blackout curtains,Air conditioning,Dining area,Seating area,Separate dining area,Coffee / tea maker,Flatscreen TV,Complimentary toiletries,Separate living room,Sofa,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Kitchenette,Dishwasher,Microwave,Oven,Refrigerator,Stovetop,Kitchenware,City view,Landmark view,Suites",Chicago,"From the spectacular Lake Michigan views to the resort-style amenities, Sentral Chicago Michigan Avenue is your ideal getaway destination in The Windy City. Let everyday cares fade away as you enjoy a revitalizing swim in the indoor, infinity pool. Breathtaking views await in our lakefront suites. Choose the right floorplan to meet your needs and benefit from fully-equipped kitchens with high-end finishes, perfect for cooking your favorite meals. Resort-style amenities help elevate the ultimate Chicago getaway. Explore and discover shared public spaces, such as our four-story indoor garden with views of Lake Michigan. After a busy day of exploring, unwind with a relaxing soak in the outdoor hydrotherapy spa or indoor infinity pool. From outdoor fire pits perfect for family time to a game area and Chef’s Kitchen, the only thing you’ll want is more time. Sentral Michigan Avenue welcomes you to stay in our designer-furnished apartment suites for a month or longer. Beginning July 15, 2022, Michigan Avenue will welcome guests for any length of stay. Plan your trip today.",,Sentral Chicago Michigan Avenue,"€153,€138",5.0
"Parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Meeting rooms,Baggage storage,Wifi,Restaurant,Complimentary Instant Coffee,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",Chicago,"HOTEL STYLE,Residential Neighborhood,Mid-range","1244 N Dearborn Pkwy, Chicago, IL 60610-5197",Claridge House Chicago,€154,4.0
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Free breakfast,Evening entertainment,Nightclub / DJ,Kids stay free,Pets Allowed ( Dog / Pet Friendly ),Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Taxi service,Business Center with Internet Access,Conference facilities,Meeting rooms,Massage,24-hour security,Baggage storage,Concierge,Non-smoking hotel,Doorperson,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Bathrobes,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Flatscreen TV,Complimentary toiletries,Safe,Iron,Laptop safe,Wake-up service / alarm clock,Minibar,Refrigerator,On-demand movies,iPod docking station,Hair dryer,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Value,Modern","20 W Kinzie St, Chicago, IL 60654-6392",Kinzie Hotel,€208,4.5
